,name,movie_acted,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,scaled_avg_score
40902,Mateusz Nędza,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40903,Witold Wielinski,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40904,Stanisław Banasiuk,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40905,Mariusz Drężek,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40906,Wojciech Urbański,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40907,Michał Włodarczyk,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40908,Paweł Jusiński,"['tm817075', 'tm1068632']",2,11.85,1.11,5.925000000000001,0.555,0.22,0.59
40909,Mateusz Rzeźniczak,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40910,Jędrzej Bigosiński,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40911,Honorata Witańska,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40912,Paweł Orleański,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40913,Patryk Michalak,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40914,Anna Biernacik,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40915,Piotr Janiszewski,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40916,Magdalena Rembacz,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40917,Jakub Sokołowski,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40918,Andrea Cattaneo,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40919,Kamil Baryła,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40920,Maciej Babicz,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40921,Sławomir Tomczak,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40922,Paweł Bernadowski,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40923,Mikołaj Osiński,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40924,Tomasz Czajka,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40925,Maciej Gruszczyński,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40926,Maria Kuśmierska,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40927,Patrycja Soliman,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40928,Joanna Niemirska,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40929,Kinga Suchan,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40930,Magdalena Jadowska,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40931,Justyna Stojałowska,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40932,Matteo Martari,['tm1137862'],1,6.3,0.58,6.3,0.58,0.0,0.63
40933,Matilde Gioli,['tm1137862'],1,6.3,0.58,6.3,0.58,0.0,0.63
40934,Ilenia Pastorelli,['tm1137862'],1,6.3,0.58,6.3,0.58,0.0,0.63
40935,Flavio Furno,['tm1137862'],1,6.3,0.58,6.3,0.58,0.0,0.63
40936,Nicola Lagioia,['tm1137862'],1,6.3,0.58,6.3,0.58,0.0,0.63
40937,Luís Filipe Eusébio,['tm1137862'],1,6.3,0.58,6.3,0.58,0.0,0.63
40938,Camille Mana,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40939,Bill Farmer,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40940,Anjali Bhimani,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40941,Jenny Yokobori,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40942,Secunda Wood,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40943,Rick Zieff,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40944,Julian Smith,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40945,Julia Anastasopoulos,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40946,Greig Cameron,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40947,Rob van Vuuren,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40948,Tarryn Wyngaard,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40949,Jody J. Abrahams,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40950,Zolani Mahola,['tm834847'],1,6.3,0.59,6.3,0.59,0.0,0.63
40951,Akhil Akkineni,['tm876997'],1,5.9,0.48,5.9,0.48,0.0,0.59
40952,Aamani,['tm876997'],1,5.9,0.48,5.9,0.48,0.0,0.59
40953,Sudigali Sudheer,['tm876997'],1,5.9,0.48,5.9,0.48,0.0,0.59
40954,Abhay Bethiganti,['tm876997'],1,5.9,0.48,5.9,0.48,0.0,0.59
40955,Faria Abdullah,['tm876997'],1,5.9,0.48,5.9,0.48,0.0,0.59
40956,Chinmayi Sripaada,['tm876997'],1,5.9,0.48,5.9,0.48,0.0,0.59
40957,Rahul Ravindran,"['tm876997', 'tm1115392']",2,13.4,1.03,6.7,0.515,0.22,0.67
40958,Neha Shetty,['tm876997'],1,5.9,0.48,5.9,0.48,0.0,0.59
40959,Amit Kumar Tiwari,['tm876997'],1,5.9,0.48,5.9,0.48,0.0,0.59
40960,Satyam Rajesh,"['tm876997', 'tm1183542']",2,12.9,0.8999999999999999,6.45,0.4499999999999999,0.22,0.64
40961,Giri Babu,['tm876997'],1,5.9,0.48,5.9,0.48,0.0,0.59
40962,DJ Pooh,['tm1207096'],1,5.25,0.42,5.25,0.42,0.0,0.52
40963,Melanie Comarcho,['tm1207096'],1,5.25,0.42,5.25,0.42,0.0,0.52
40964,Guy Torry,['tm1207096'],1,5.25,0.42,5.25,0.42,0.0,0.52
40965,Laura Aikman,['tm1092995'],1,7.15,0.58,7.15,0.58,0.0,0.72
40966,Anna Leong Brophy,['tm1092995'],1,7.15,0.58,7.15,0.58,0.0,0.72
40967,Filippo Timi,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40968,Francesco Gheghi,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40969,Emanuele Maria Di Stefano,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40970,Giulia Maenza,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40971,Jodhi May,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40972,Valentina Cervi,"['tm1166015', 'tm990972']",2,12.5,1.09,6.25,0.5449999999999999,0.22,0.62
40973,Gerald Tyler,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40974,Alessia Giuliani,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40975,Tim Daish,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40976,Gianluca De Marchi,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40977,Ambrosia Caldarelli,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40978,Enrico Borello,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40979,Nicola Vendola,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40980,Martina Querini,['tm1166015'],1,6.75,0.57,6.75,0.57,0.0,0.68
40981,Atsumi Tanezaki,['tm880822'],1,7.1,0.63,7.1,0.63,0.0,0.71
40982,Mario Maurer,['tm1160424'],1,5.1,0.55,5.1,0.55,0.0,0.51
40983,Pimchanok Luevisadpaibul,['tm1160424'],1,5.1,0.55,5.1,0.55,0.0,0.51
40984,Amaree McKenstry-Hall,['tm1039147'],1,6.15,0.52,6.15,0.52,0.0,0.62
40985,Mix Master Mike,['tm1215536'],1,7.15,0.4,7.15,0.4,0.0,0.72
40986,Subhashish Jha,['tm833467'],1,6.45,0.43,6.45,0.43,0.0,0.64
40987,Subhrajyoti Barat,['tm833467'],1,6.45,0.43,6.45,0.43,0.0,0.64
40988,Alok Pandey,['tm833467'],1,6.45,0.43,6.45,0.43,0.0,0.64
40989,Rakhi Kishore,['tm833467'],1,6.45,0.43,6.45,0.43,0.0,0.64
40990,Viraj Kapoor,['tm833467'],1,6.45,0.43,6.45,0.43,0.0,0.64
40991,Nitanshi Goel,['tm833467'],1,6.45,0.43,6.45,0.43,0.0,0.64
40992,Mahesh Chandra Deva,['tm833467'],1,6.45,0.43,6.45,0.43,0.0,0.64
40993,Jayesh Pathak,['tm833467'],1,6.45,0.43,6.45,0.43,0.0,0.64
40994,Amit Sinha,['tm833467'],1,6.45,0.43,6.45,0.43,0.0,0.64
40995,Priyanshu Srivastava,['tm833467'],1,6.45,0.43,6.45,0.43,0.0,0.64
40996,Brando Pacitto,['tm1185388'],1,6.4,0.44,6.4,0.44,0.0,0.64
40997,Chabeli Sastre González,['tm1185388'],1,6.4,0.44,6.4,0.44,0.0,0.64
40998,Claudio Bigagli,['tm1185388'],1,6.4,0.44,6.4,0.44,0.0,0.64
40999,Marcello Fonte,['tm1185388'],1,6.4,0.44,6.4,0.44,0.0,0.64
41000,Cristian Di Sante,['tm1185388'],1,6.4,0.44,6.4,0.44,0.0,0.64
41001,Tullio Sorrentino,['tm1185388'],1,6.4,0.44,6.4,0.44,0.0,0.64
41002,Filippo Contri,['tm1185388'],1,6.4,0.44,6.4,0.44,0.0,0.64
41003,Max Malatesta,['tm1185388'],1,6.4,0.44,6.4,0.44,0.0,0.64
41004,Grazia Schiavo,['tm1185388'],1,6.4,0.44,6.4,0.44,0.0,0.64
41005,Bruno Pavoncello,['tm1185388'],1,6.4,0.44,6.4,0.44,0.0,0.64
41006,Marilyn Lima,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41007,Michel Nabokoff,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41008,Martin Swabey,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41009,Andrey Gorlenko,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41010,Antonia Malinova,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41011,Gabriel Almaer,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41012,Mustapha Makhada,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41013,Salmane Taydi,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41014,Mikael Cassoli,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41015,Olivier Massart,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41016,Doriane Pasquale,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41017,Alain Eloy,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41018,Sarah Al Sayed Obeid,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41019,Stéphanie Pareja,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41020,Marine Duvivier,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41021,Eric Castex,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41022,Grigory Collomb,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41023,Baptiste Leclercq,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41024,Mélissa Humler,['tm998726'],1,5.300000000000001,0.64,5.300000000000001,0.64,0.0,0.53
41025,Laurence Arné,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41026,Élie Semoun,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41027,Nawell Madani,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41028,Jorge Calvo,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41029,Tom Leeb,"['tm1077201', 'tm960145']",2,12.35,1.21,6.175,0.605,0.22,0.62
41030,Liliane Rovère,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41031,Alison Wheeler,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41032,Rose de Kervenoaël,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41033,Milo Machado-Graner,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41034,Eve Margnat,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41035,Myriam Bourguignon,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41036,Tatiana Gousseff,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41037,Isabelle De Hertogh,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41038,Clara Cirera,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41039,Nick Mukoko,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41040,Randiane Naly,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41041,Yann Papin,['tm1077201'],1,6.15,0.57,6.15,0.57,0.0,0.62
41042,Yolanthe Cabau,"['tm1203307', 'tm904862']",2,10.4,1.17,5.2,0.585,0.22,0.52
41043,Victoria Koblenko,['tm1203307'],1,4.9,0.6,4.9,0.6,0.0,0.49
41044,Bo Maerten,['tm1203307'],1,4.9,0.6,4.9,0.6,0.0,0.49
41045,Géza Weisz,['tm1203307'],1,4.9,0.6,4.9,0.6,0.0,0.49
41046,Edwin Jonker,"['tm1203307', 'tm904862']",2,10.4,1.17,5.2,0.585,0.22,0.52
41047,Bettina Holwerda,['tm1203307'],1,4.9,0.6,4.9,0.6,0.0,0.49
41048,Juvat Westendorp,"['tm1203307', 'tm904862']",2,10.4,1.17,5.2,0.585,0.22,0.52
41049,Maurits Delchot,"['tm1203307', 'tm904862']",2,10.4,1.17,5.2,0.585,0.22,0.52
41050,Nienke Plas,"['tm1203307', 'tm904862']",2,10.4,1.17,5.2,0.585,0.22,0.52
41051,Anouk Maas,['tm1203307'],1,4.9,0.6,4.9,0.6,0.0,0.49
41052,Rutger Vink,['tm1203307'],1,4.9,0.6,4.9,0.6,0.0,0.49
41053,Kraantje Pappie,['tm1203307'],1,4.9,0.6,4.9,0.6,0.0,0.49
41054,Défano Holwijn,['tm1203307'],1,4.9,0.6,4.9,0.6,0.0,0.49
41055,Thomas van Grinsven,['tm1203307'],1,4.9,0.6,4.9,0.6,0.0,0.49
41056,Lisa van Zuylen,['tm1203307'],1,4.9,0.6,4.9,0.6,0.0,0.49
41057,Victoria Vermeer,['tm1203307'],1,4.9,0.6,4.9,0.6,0.0,0.49
41058,Shanna Keil,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41059,Marie Gillain,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41060,Eric Elmosnino,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41061,Eric Savin,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41062,Romain Lancry,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41063,Vincent Deniard,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41064,Ezio Sutter,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41065,Monique Barbarat,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41066,Matthieu Warter,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41067,David Levadoux,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41068,Clélia-Marie Grelier,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41069,Sébastien Saint-Martin,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41070,Christian Eustache,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
41071,Thierry Simon,['tm945448'],1,6.800000000000001,0.6,6.800000000000001,0.6,0.0,0.68
