id,name,title,imdb_score,tmdb_score,imdb_votes,tmdb_popularity,nor_imdb_vote,nor_tmdb_popularity,weighted_average_popularity
tm184224,Debbie Allen,Sinbad: Afros and Bellbottoms,7.8,5.5,172.0,3.793,0.27,0.49,0.38
tm25389,Khalid Mohammed,Fiza,6.0,6.3,4213.0,2.835,0.52,0.46,0.49
tm34391,Will Yapp,Before the Flying Circus,7.3,8.5,168.0,1.444,0.27,0.41,0.34
tm44776,Youssef Chahine,The Other,5.9,5.9,997.0,1.12,0.41,0.39,0.4
tm334788,Rahul Rawail,Yodha,4.5,5.0,198.0,1.554,0.28,0.41,0.34
tm117840,Youssef Chahine,The Emigrant,6.5,6.0,1015.0,1.4,0.41,0.41,0.41
tm42397,Sohail Khan,Hello Brother,4.6,5.3,4262.0,4.338,0.52,0.5,0.51
tm314602,Bunty Soorma,Dushmani,5.0,7.5,249.0,2.045,0.3,0.44,0.37
tm255589,Mike Clattenburg,One Last Shot,,5.2,2591.0,1.89,0.48,0.43,0.45
tm7810,Royer Young,Nightmare in Columbia County,5.5,6.0,345.0,2.713,0.32,0.46,0.39
tm210754,Yılmaz Erdoğan,Have You Ever Seen Fireflies? - Theatre Play,,7.6,2591.0,1.396,0.48,0.41,0.44
tm449775,Umesh Mehra,Shikari,5.8,5.0,68.0,1.323,0.2,0.4,0.3
tm449775,Latif Faizav,Shikari,5.8,5.0,68.0,1.323,0.2,0.4,0.3
tm74402,Frank Darabont,The Mist,7.1,6.9,305346.0,37.369,0.85,0.67,0.76
tm91952,Mark Waters,Mean Girls,7.1,7.2,375975.0,57.235,0.86,0.7,0.78
tm111828,Steven Spielberg,Catch Me If You Can,8.1,8.0,952602.0,72.321,0.93,0.72,0.82
tm150112,Todd Phillips,Old School,7.0,6.577,229171.0,17.131,0.82,0.61,0.72
tm80906,Adam McKay,Anchorman: The Legend of Ron Burgundy,7.1,6.7,353118.0,20.606,0.86,0.62,0.74
tm92641,Christopher Nolan,Inception,8.8,8.4,2294231.0,108.284,1.0,0.76,0.88
tm27911,Martin Scorsese,The Departed,8.5,8.2,1296244.0,33.795,0.96,0.66,0.81
tm88465,James Wan,Insidious,6.8,6.929,303820.0,99.129,0.84,0.75,0.8
tm172683,Steven Spielberg,War of the Worlds,6.5,6.474,444229.0,36.989,0.87,0.67,0.77
tm42877,Timur Bekmambetov,Wanted,6.7,6.5,384995.0,33.101,0.86,0.66,0.76
tm39030,Martin Campbell,Casino Royale,8.0,7.518,649676.0,40.164,0.9,0.68,0.79
tm997728,,Blade Runner: The Final Cut,,9.0,2591.0,0.055,0.48,0.15,0.32
tm89677,Steven Spielberg,The Terminal,7.4,7.3,441752.0,21.384,0.87,0.62,0.74
tm78592,Tony Gilroy,Michael Clayton,7.2,6.7,165109.0,16.97,0.8,0.61,0.7
tm105329,Sam Mendes,Road to Perdition,7.7,7.4,265216.0,18.739,0.83,0.61,0.72
tm139658,Tim Burton,Big Fish,8.0,7.769,437650.0,21.158,0.87,0.62,0.74
tm26327,Kathryn Bigelow,The Hurt Locker,7.5,7.3,446904.0,28.341,0.87,0.65,0.76
tm95477,Wolfgang Petersen,Troy,7.3,7.1,527447.0,48.407,0.89,0.69,0.79
tm154187,Guy Ritchie,Sherlock Holmes,7.6,7.2,625708.0,43.297,0.9,0.68,0.79
tm133767,Richard Curtis,Love Actually,7.6,7.1,476101.0,36.484,0.88,0.67,0.78
tm45454,Peter Segal,Get Smart,6.5,6.2,216695.0,22.421,0.82,0.63,0.72
tm26897,Marc Forster,Quantum of Solace,6.6,6.304,444241.0,31.298,0.87,0.66,0.76
tm133374,John Lee Hancock,The Blind Side,7.6,7.661,327675.0,63.663,0.85,0.71,0.78
tm195620,Francis Ford Coppola,Apocalypse Now Redux,,9.8,2591.0,4.147,0.48,0.49,0.48
tm136808,James Mangold,Identity,7.3,7.181,240433.0,19.558,0.83,0.62,0.72
tm70807,Francis Lawrence,I Am Legend,7.2,7.192,745093.0,69.139,0.91,0.72,0.82
tm93055,Dennis Dugan,Grown Ups,5.9,6.333,249934.0,98.37,0.83,0.75,0.79
tm85811,Natalia Pasenytska,The Girl Next Door,6.7,6.7,223380.0,37.315,0.82,0.67,0.74
tm101914,David O. Russell,The Fighter,,7.4,2591.0,17.007,0.48,0.61,0.54
tm131038,Michael Mann,Public Enemies,7.0,6.7,300773.0,85.039,0.84,0.74,0.79
tm58382,Joel Gallen,Not Another Teen Movie,5.7,5.8,105352.0,36.438,0.76,0.67,0.72
tm35463,Ted Demme,Blow,7.5,7.4,258431.0,24.348,0.83,0.64,0.74
tm30603,Peter Berg,Hancock,6.4,6.33,476593.0,121.985,0.88,0.76,0.82
tm20959,Gabriele Muccino,The Pursuit of Happyness,8.0,7.9,501457.0,47.893,0.88,0.69,0.78
tm136308,Patty Jenkins,Monster,7.3,7.2,150339.0,16.309,0.79,0.6,0.7
tm29737,Sylvester Stallone,Rambo,7.0,6.6,230333.0,72.224,0.82,0.72,0.77
