,name,movie_directed,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,scaled_avg_score
325,Ava DuVernay,"['tm52352', 'tm34331', 'tm244788']",3,21.55,14.4,7.183333333333333,4.8,2.9478373494331396,0.72
326,Sachin Yardi,"['tm36636', 'tm74031', 'tm473813']",3,16.849999999999998,14.3,5.616666666666666,4.766666666666667,2.9478373494331396,0.56
327,Philippe Aractingi,"['tm226362', 'tm76029', 'tm200926', 'tm344562']",4,25.35,14.7,6.3375,3.675,3.8968290113739616,0.63
328,Kingsley Ogoro,"['tm145690', 'tm89054']",2,11.95,8.8,5.975,4.4,1.7243743076436346,0.6
329,Simi Opeoluwa,['tm145690'],1,5.55,4.4,5.55,4.4,0.0,0.56
330,Kevin Bray,"['tm31564', 'tm813938']",2,10.95,8.7,5.4750000000000005,4.35,1.7243743076436346,0.55
331,Matt Askem,"['tm41953', 'tm165712']",2,13.75,9.2,6.875,4.6,1.7243743076436346,0.69
332,Siddharth P. Malhotra,['tm98475'],1,5.75,4.8,5.75,4.8,0.0,0.58
333,Pang Ho-cheung,['tm95434'],1,7.1,4.8,7.1,4.8,0.0,0.71
334,Dianna Basso,"['tm87909', 'tm830994']",2,14.85,8.9,7.425000000000001,4.45,1.7243743076436346,0.74
335,Joey So,"['tm87909', 'tm830994']",2,14.85,8.9,7.425000000000001,4.45,1.7243743076436346,0.74
336,Deimantas Narkevičius,['tm154802'],1,3.5,4.2,3.5,4.2,0.0,0.35
337,Habib Faisal,['tm97982'],1,6.95,4.8,6.95,4.8,0.0,0.7
338,Shyam Benegal,"['tm52176', 'tm101540']",2,12.5,9.0,6.25,4.5,1.7243743076436346,0.62
339,Anusha Rizvi,['tm102848'],1,7.35,5.4,7.35,5.4,0.0,0.74
340,Takehiko Watanabe,['tm340006'],1,7.05,2.2,7.05,2.2,0.0,0.7
341,Prem Soni,['tm154375'],1,3.65,4.8,3.65,4.8,0.0,0.36
342,Ken Ghosh,"['tm134140', 'tm91125', 'tm95507']",3,16.3,14.6,5.433333333333334,4.866666666666667,2.9478373494331396,0.54
343,Benz Kong,['tm81864'],1,5.1,4.5,5.1,4.5,0.0,0.51
344,G.J. Echternkamp,"['tm241875', 'tm212968', 'tm452237']",3,18.0,13.0,6.0,4.333333333333333,2.9478373494331396,0.6
345,Annemarie Jacir,"['tm29028', 'tm341561']",2,12.95,8.4,6.475,4.2,1.7243743076436346,0.65
346,Chineze Anyaene,['tm91176'],1,6.300000000000001,3.2,6.300000000000001,3.2,0.0,0.63
